No,Kode Satker,Nama Satker,Kode Barang,Nama Barang,NUP,Kondisi,Merk/Tipe,Tgl Rekam Pertama,Tgl Perolehan,Nilai Perolehan Pertama,Nilai Mutasi,Nilai Perolehan,Nilai Penyusutan,Nilai Buku,KUANTITAS,Jml Foto,Status Penggunaan,Status Pengelolaan,No PSP,Tgl PSP,NO BPKB,NO POLISI,PEMAKAI,Jumlah KIB
1,025040199426302000KP,DITJEN PENDIS,3020101001,Sedan,1,Baik,Toyota Corolla Altis V A/T,8/11/2010,26/10/2010,"355,400,000",0,"355,400,000","355,400,000",0,1,1,Digunakan sendiri untuk operasional,,184/KM.6/WKN.07/KNL.03/2016,26/09/2016,-,B 1223 PQA,-,0
2,025040199426302000KP,DITJEN PENDIS,3020101001,Sedan,4,Baik,Toyota,30/06/2015,8/10/2007,"263,600,000",0,"263,600,000","263,600,000",0,1,1,Digunakan sendiri untuk operasional,,136/KM.6/WKN.07/KNL.03/2016,9/8/2016,E 9129146,B 1079 LQ,-,0
3,025040199426302000KP,DITJEN PENDIS,3020101001,Sedan,5,Baik,TOYOTA NEW CAMRY 2.5 V A/T,30/08/2018,30/07/2018,"589,600,000",0,"589,600,000","336,914,287","252,685,713",1,1,Digunakan sendiri untuk operasional,,055/KM.6/WKN.07/KNL.03/2020,9/3/2020,N08213104,B 1302 PQB,-,0
4,025040199426302000KP,DITJEN PENDIS,3020102001,Bus ( Penumpang 30 Orang Keatas ),1,Baik,ISUZU,10/12/2009,30/11/2009,"437,999,000",0,"437,999,000","437,999,000",0,1,1,Digunakan sendiri untuk operasional,,184/KM.6/WKN.07/KNL.03/2016,26/09/2016,G 2742046G,B 7552 IQ,-,0
5,025040199426302000KP,DITJEN PENDIS,3020102003,Mini Bus ( Penumpang 14 Orang Kebawah ),53,Baik,TOYOTA,31/12/2007,17/11/2007,"100,755,000",0,"100,755,000","100,755,000",0,1,1,Digunakan sendiri untuk operasional,,136/KM.6/WKN.07/KNL.03/2016,9/8/2016,E 8176679 G,B 1823 PQ,-,0
6,025040199426302000KP,DITJEN PENDIS,3020102003,Mini Bus ( Penumpang 14 Orang Kebawah ),54,Baik,INNOVA TYPE   E,31/12/2007,17/07/2007,"154,040,500",0,"154,040,500","154,040,500",0,1,1,Digunakan sendiri untuk operasional,,184/KM.6/WKN.07/KNL.03/2016,26/09/2016,228165,B 8934 WU,-,0
7,025040199426302000KP,DITJEN PENDIS,3020102003,Mini Bus ( Penumpang 14 Orang Kebawah ),55,Baik,INNOVA TYPE   E,31/12/2007,17/07/2007,"154,040,500",0,"154,040,500","154,040,500",0,1,1,Digunakan sendiri untuk operasional,,136/KM.6/WKN.07/KNL.03/2016,9/8/2016,228165,B 8935 WU,-,0
8,025040199426302000KP,DITJEN PENDIS,3020102003,Mini Bus ( Penumpang 14 Orang Kebawah ),56,Baik,INNOVA TYPE   E,31/12/2007,17/07/2007,"154,040,500",0,"154,040,500","154,040,500",0,1,2,Digunakan sendiri untuk operasional,,184/KM.6/WKN.07/KNL.03/2016,26/09/2016,228165,B 8936 WU,-,0
9,025040199426302000KP,DITJEN PENDIS,3020102003,Mini Bus ( Penumpang 14 Orang Kebawah ),59,Baik,TOYOTA AVANZA S. M/T,31/12/2007,17/07/2007,"125,255,000",0,"125,255,000","125,255,000",0,1,2,Digunakan sendiri untuk operasional,,184/KM.6/WKN.07/KNL.03/2016,26/09/2016,222806,B 8972 WU,-,0
10,025040199426302000KP,DITJEN PENDIS,3020102003,Mini Bus ( Penumpang 14 Orang Kebawah ),60,Baik,TOYOTA AVANZA S. M/T,31/12/2007,17/07/2007,"125,255,000",0,"125,255,000","125,255,000",0,1,1,Digunakan sendiri untuk operasional,,184/KM.6/WKN.07/KNL.03/2016,26/09/2016,222806,B 8977 WU,-,0
